model,variable,test,topic_a,topic_b,statistic,p_value,p_adj_bonferroni,significant_p05
BERTopic,num_comments,Mann-Whitney U (pairwise),14,23,-,0.811536,1.0,False
BERTopic,num_comments,Mann-Whitney U (pairwise),14,24,-,0.168264,1.0,False
BERTopic,num_comments,Mann-Whitney U (pairwise),14,25,-,0.554723,1.0,False
BERTopic,num_comments,Mann-Whitney U (pairwise),14,26,-,0.957347,1.0,False
BERTopic,num_comments,Mann-Whitney U (pairwise),14,27,-,0.731416,1.0,False
BERTopic,num_comments,Mann-Whitney U (pairwise),14,28,-,0.892028,1.0,False
BERTopic,num_comments,Mann-Whitney U (pairwise),14,29,-,0.212573,1.0,False
BERTopic,num_comments,Mann-Whitney U (pairwise),14,30,-,0.042985,1.0,False
BERTopic,num_comments,Mann-Whitney U (pairwise),14,31,-,0.030983,1.0,False
BERTopic,num_comments,Mann-Whitney U (pairwise),14,32,-,0.163688,1.0,False
BERTopic,num_comments,Mann-Whitney U (pairwise),15,16,-,0.493491,1.0,False
BERTopic,num_comments,Mann-Whitney U (pairwise),15,17,-,0.745076,1.0,False
BERTopic,num_comments,Mann-Whitney U (pairwise),15,18,-,0.031561,1.0,False
BERTopic,num_comments,Mann-Whitney U (pairwise),15,19,-,0.456733,1.0,False
BERTopic,num_comments,Mann-Whitney U (pairwise),15,20,-,0.238614,1.0,False
BERTopic,num_comments,Mann-Whitney U (pairwise),15,21,-,0.94603,1.0,False
BERTopic,num_comments,Mann-Whitney U (pairwise),15,22,-,0.259375,1.0,False
BERTopic,num_comments,Mann-Whitney U (pairwise),15,23,-,0.779818,1.0,False
BERTopic,num_comments,Mann-Whitney U (pairwise),15,24,-,0.598575,1.0,False
BERTopic,num_comments,Mann-Whitney U (pairwise),15,25,-,0.228082,1.0,False
BERTopic,num_comments,Mann-Whitney U (pairwise),15,26,-,0.352709,1.0,False
BERTopic,num_comments,Mann-Whitney U (pairwise),15,27,-,0.427684,1.0,False
BERTopic,num_comments,Mann-Whitney U (pairwise),15,28,-,0.492027,1.0,False
BERTopic,num_comments,Mann-Whitney U (pairwise),15,29,-,0.19285,1.0,False
BERTopic,num_comments,Mann-Whitney U (pairwise),15,30,-,0.322209,1.0,False
BERTopic,num_comments,Mann-Whitney U (pairwise),15,31,-,0.166417,1.0,False
BERTopic,num_comments,Mann-Whitney U (pairwise),15,32,-,0.088418,1.0,False
BERTopic,num_comments,Mann-Whitney U (pairwise),16,17,-,0.738429,1.0,False
BERTopic,num_comments,Mann-Whitney U (pairwise),16,18,-,0.009073,1.0,False
BERTopic,num_comments,Mann-Whitney U (pairwise),16,19,-,0.221009,1.0,False
BERTopic,num_comments,Mann-Whitney U (pairwise),16,20,-,0.138886,1.0,False
BERTopic,num_comments,Mann-Whitney U (pairwise),16,21,-,0.490325,1.0,False
BERTopic,num_comments,Mann-Whitney U (pairwise),16,22,-,0.68254,1.0,False
BERTopic,num_comments,Mann-Whitney U (pairwise),16,23,-,0.40283,1.0,False
BERTopic,num_comments,Mann-Whitney U (pairwise),16,24,-,0.901321,1.0,False
BERTopic,num_comments,Mann-Whitney U (pairwise),16,25,-,0.096767,1.0,False
BERTopic,num_comments,Mann-Whitney U (pairwise),16,26,-,0.082402,1.0,False
BERTopic,num_comments,Mann-Whitney U (pairwise),16,27,-,0.372595,1.0,False
BERTopic,num_comments,Mann-Whitney U (pairwise),16,28,-,0.229921,1.0,False
BERTopic,num_comments,Mann-Whitney U (pairwise),16,29,-,0.139075,1.0,False
BERTopic,num_comments,Mann-Whitney U (pairwise),16,30,-,0.650711,1.0,False
BERTopic,num_comments,Mann-Whitney U (pairwise),16,31,-,0.41381,1.0,False
BERTopic,num_comments,Mann-Whitney U (pairwise),16,32,-,0.044061,1.0,False
BERTopic,num_comments,Mann-Whitney U (pairwise),17,18,-,0.003708,1.0,False
BERTopic,num_comments,Mann-Whitney U (pairwise),17,19,-,0.15969,1.0,False
BERTopic,num_comments,Mann-Whitney U (pairwise),17,20,-,0.18095,1.0,False
BERTopic,num_comments,Mann-Whitney U (pairwise),17,21,-,0.46521,1.0,False
BERTopic,num_comments,Mann-Whitney U (pairwise),17,22,-,0.445349,1.0,False
BERTopic,num_comments,Mann-Whitney U (pairwise),17,23,-,0.445689,1.0,False
BERTopic,num_comments,Mann-Whitney U (pairwise),17,24,-,0.914454,1.0,False
BERTopic,num_comments,Mann-Whitney U (pairwise),17,25,-,0.104817,1.0,False
BERTopic,num_comments,Mann-Whitney U (pairwise),17,26,-,0.03121,1.0,False
BERTopic,num_comments,Mann-Whitney U (pairwise),17,27,-,0.50338,1.0,False
BERTopic,num_comments,Mann-Whitney U (pairwise),17,28,-,0.210552,1.0,False
BERTopic,num_comments,Mann-Whitney U (pairwise),17,29,-,0.170902,1.0,False
BERTopic,num_comments,Mann-Whitney U (pairwise),17,30,-,0.47873,1.0,False
BERTopic,num_comments,Mann-Whitney U (pairwise),17,31,-,0.333687,1.0,False
BERTopic,num_comments,Mann-Whitney U (pairwise),17,32,-,0.037688,1.0,False
BERTopic,num_comments,Mann-Whitney U (pairwise),18,19,-,0.288997,1.0,False
BERTopic,num_comments,Mann-Whitney U (pairwise),18,20,-,0.474441,1.0,False
BERTopic,num_comments,Mann-Whitney U (pairwise),18,21,-,0.015176,1.0,False
BERTopic,num_comments,Mann-Whitney U (pairwise),18,22,-,0.00236,1.0,False
BERTopic,num_comments,Mann-Whitney U (pairwise),18,23,-,0.159348,1.0,False
BERTopic,num_comments,Mann-Whitney U (pairwise),18,24,-,0.023888,1.0,False
BERTopic,num_comments,Mann-Whitney U (pairwise),18,25,-,0.586152,1.0,False
BERTopic,num_comments,Mann-Whitney U (pairwise),18,26,-,0.520337,1.0,False
BERTopic,num_comments,Mann-Whitney U (pairwise),18,27,-,0.397988,1.0,False
BERTopic,num_comments,Mann-Whitney U (pairwise),18,28,-,0.327629,1.0,False
BERTopic,num_comments,Mann-Whitney U (pairwise),18,29,-,0.866375,1.0,False
BERTopic,num_comments,Mann-Whitney U (pairwise),18,30,-,0.002534,1.0,False
BERTopic,num_comments,Mann-Whitney U (pairwise),18,31,-,0.003887,1.0,False
BERTopic,num_comments,Mann-Whitney U (pairwise),18,32,-,0.836644,1.0,False
BERTopic,num_comments,Mann-Whitney U (pairwise),19,20,-,0.55651,1.0,False
BERTopic,num_comments,Mann-Whitney U (pairwise),19,21,-,0.247605,1.0,False
BERTopic,num_comments,Mann-Whitney U (pairwise),19,22,-,0.067509,1.0,False
BERTopic,num_comments,Mann-Whitney U (pairwise),19,23,-,0.828534,1.0,False
BERTopic,num_comments,Mann-Whitney U (pairwise),19,24,-,0.202863,1.0,False
BERTopic,num_comments,Mann-Whitney U (pairwise),19,25,-,0.670986,1.0,False
BERTopic,num_comments,Mann-Whitney U (pairwise),19,26,-,0.813172,1.0,False
BERTopic,num_comments,Mann-Whitney U (pairwise),19,27,-,0.816603,1.0,False
BERTopic,num_comments,Mann-Whitney U (pairwise),19,28,-,0.92737,1.0,False
BERTopic,num_comments,Mann-Whitney U (pairwise),19,29,-,0.266326,1.0,False
BERTopic,num_comments,Mann-Whitney U (pairwise),19,30,-,0.069085,1.0,False
BERTopic,num_comments,Mann-Whitney U (pairwise),19,31,-,0.058611,1.0,False
BERTopic,num_comments,Mann-Whitney U (pairwise),19,32,-,0.255016,1.0,False
BERTopic,num_comments,Mann-Whitney U (pairwise),20,21,-,0.254084,1.0,False
BERTopic,num_comments,Mann-Whitney U (pairwise),20,22,-,0.073956,1.0,False
BERTopic,num_comments,Mann-Whitney U (pairwise),20,23,-,0.653146,1.0,False
BERTopic,num_comments,Mann-Whitney U (pairwise),20,24,-,0.254025,1.0,False
BERTopic,num_comments,Mann-Whitney U (pairwise),20,25,-,0.772422,1.0,False
BERTopic,num_comments,Mann-Whitney U (pairwise),20,26,-,0.862881,1.0,False
BERTopic,num_comments,Mann-Whitney U (pairwise),20,27,-,0.868906,1.0,False
BERTopic,num_comments,Mann-Whitney U (pairwise),20,28,-,0.71715,1.0,False
BERTopic,num_comments,Mann-Whitney U (pairwise),20,29,-,0.504949,1.0,False
BERTopic,num_comments,Mann-Whitney U (pairwise),20,30,-,0.103819,1.0,False
BERTopic,num_comments,Mann-Whitney U (pairwise),20,31,-,0.045602,1.0,False
BERTopic,num_comments,Mann-Whitney U (pairwise),20,32,-,0.513295,1.0,False
BERTopic,num_comments,Mann-Whitney U (pairwise),21,22,-,0.226331,1.0,False
BERTopic,num_comments,Mann-Whitney U (pairwise),21,23,-,0.670195,1.0,False
BERTopic,num_comments,Mann-Whitney U (pairwise),21,24,-,0.570762,1.0,False
BERTopic,num_comments,Mann-Whitney U (pairwise),21,25,-,0.191939,1.0,False
BERTopic,num_comments,Mann-Whitney U (pairwise),21,26,-,0.068504,1.0,False
BERTopic,num_comments,Mann-Whitney U (pairwise),21,27,-,0.698192,1.0,False
BERTopic,num_comments,Mann-Whitney U (pairwise),21,28,-,0.354406,1.0,False
BERTopic,num_comments,Mann-Whitney U (pairwise),21,29,-,0.199919,1.0,False
BERTopic,num_comments,Mann-Whitney U (pairwise),21,30,-,0.194033,1.0,False
BERTopic,num_comments,Mann-Whitney U (pairwise),21,31,-,0.168581,1.0,False
BERTopic,num_comments,Mann-Whitney U (pairwise),21,32,-,0.048137,1.0,False
BERTopic,num_comments,Mann-Whitney U (pairwise),22,23,-,0.165635,1.0,False
BERTopic,num_comments,Mann-Whitney U (pairwise),22,24,-,0.619672,1.0,False
BERTopic,num_comments,Mann-Whitney U (pairwise),22,25,-,0.043974,1.0,False
BERTopic,num_comments,Mann-Whitney U (pairwise),22,26,-,0.012846,1.0,False
BERTopic,num_comments,Mann-Whitney U (pairwise),22,27,-,0.270133,1.0,False
BERTopic,num_comments,Mann-Whitney U (pairwise),22,28,-,0.107623,1.0,False
BERTopic,num_comments,Mann-Whitney U (pairwise),22,29,-,0.1041,1.0,False
BERTopic,num_comments,Mann-Whitney U (pairwise),22,30,-,1.0,1.0,False
BERTopic,num_comments,Mann-Whitney U (pairwise),22,31,-,0.745229,1.0,False
BERTopic,num_comments,Mann-Whitney U (pairwise),22,32,-,0.020333,1.0,False
BERTopic,num_comments,Mann-Whitney U (pairwise),23,24,-,0.498918,1.0,False
BERTopic,num_comments,Mann-Whitney U (pairwise),23,25,-,0.461828,1.0,False
BERTopic,num_comments,Mann-Whitney U (pairwise),23,26,-,0.508632,1.0,False
BERTopic,num_comments,Mann-Whitney U (pairwise),23,27,-,0.747219,1.0,False
BERTopic,num_comments,Mann-Whitney U (pairwise),23,28,-,0.800351,1.0,False
BERTopic,num_comments,Mann-Whitney U (pairwise),23,29,-,0.419365,1.0,False
BERTopic,num_comments,Mann-Whitney U (pairwise),23,30,-,0.196097,1.0,False
BERTopic,num_comments,Mann-Whitney U (pairwise),23,31,-,0.14716,1.0,False
BERTopic,num_comments,Mann-Whitney U (pairwise),23,32,-,0.227046,1.0,False
BERTopic,num_comments,Mann-Whitney U (pairwise),24,25,-,0.151914,1.0,False
BERTopic,num_comments,Mann-Whitney U (pairwise),24,26,-,0.060164,1.0,False
BERTopic,num_comments,Mann-Whitney U (pairwise),24,27,-,0.556115,1.0,False
BERTopic,num_comments,Mann-Whitney U (pairwise),24,28,-,0.24099,1.0,False
BERTopic,num_comments,Mann-Whitney U (pairwise),24,29,-,0.257302,1.0,False
BERTopic,num_comments,Mann-Whitney U (pairwise),24,30,-,0.625941,1.0,False
BERTopic,num_comments,Mann-Whitney U (pairwise),24,31,-,0.423384,1.0,False
BERTopic,num_comments,Mann-Whitney U (pairwise),24,32,-,0.059408,1.0,False
BERTopic,num_comments,Mann-Whitney U (pairwise),25,26,-,0.927967,1.0,False
BERTopic,num_comments,Mann-Whitney U (pairwise),25,27,-,0.789818,1.0,False
BERTopic,num_comments,Mann-Whitney U (pairwise),25,28,-,0.690818,1.0,False
BERTopic,num_comments,Mann-Whitney U (pairwise),25,29,-,0.772167,1.0,False
BERTopic,num_comments,Mann-Whitney U (pairwise),25,30,-,0.043616,1.0,False
BERTopic,num_comments,Mann-Whitney U (pairwise),25,31,-,0.028497,1.0,False
BERTopic,num_comments,Mann-Whitney U (pairwise),25,32,-,0.545479,1.0,False
BERTopic,num_comments,Mann-Whitney U (pairwise),26,27,-,0.842729,1.0,False
BERTopic,num_comments,Mann-Whitney U (pairwise),26,28,-,1.0,1.0,False
BERTopic,num_comments,Mann-Whitney U (pairwise),26,29,-,0.441674,1.0,False
BERTopic,num_comments,Mann-Whitney U (pairwise),26,30,-,0.01256,1.0,False
BERTopic,num_comments,Mann-Whitney U (pairwise),26,31,-,0.022501,1.0,False
BERTopic,num_comments,Mann-Whitney U (pairwise),26,32,-,0.3273,1.0,False
BERTopic,num_comments,Mann-Whitney U (pairwise),27,28,-,0.982499,1.0,False
BERTopic,num_comments,Mann-Whitney U (pairwise),27,29,-,0.747858,1.0,False
BERTopic,num_comments,Mann-Whitney U (pairwise),27,30,-,0.28143,1.0,False
BERTopic,num_comments,Mann-Whitney U (pairwise),27,31,-,0.183877,1.0,False
BERTopic,num_comments,Mann-Whitney U (pairwise),27,32,-,0.576225,1.0,False
BERTopic,num_comments,Mann-Whitney U (pairwise),28,29,-,0.502402,1.0,False
BERTopic,num_comments,Mann-Whitney U (pairwise),28,30,-,0.104776,1.0,False
BERTopic,num_comments,Mann-Whitney U (pairwise),28,31,-,0.088754,1.0,False
BERTopic,num_comments,Mann-Whitney U (pairwise),28,32,-,0.318267,1.0,False
BERTopic,num_comments,Mann-Whitney U (pairwise),29,30,-,0.099288,1.0,False
BERTopic,num_comments,Mann-Whitney U (pairwise),29,31,-,0.073717,1.0,False
BERTopic,num_comments,Mann-Whitney U (pairwise),29,32,-,1.0,1.0,False
BERTopic,num_comments,Mann-Whitney U (pairwise),30,31,-,0.757825,1.0,False
BERTopic,num_comments,Mann-Whitney U (pairwise),30,32,-,0.020828,1.0,False
BERTopic,num_comments,Mann-Whitney U (pairwise),31,32,-,0.018136,1.0,False
BERTopic,num_human_comments,Kruskal-Wallis (overall),all,all,269.1322,0.0,-,True
BERTopic,num_human_comments,Mann-Whitney U (pairwise),0,1,-,0.000353,0.186138,False
BERTopic,num_human_comments,Mann-Whitney U (pairwise),0,2,-,0.0,0.0,True
BERTopic,num_human_comments,Mann-Whitney U (pairwise),0,3,-,0.146638,1.0,False
BERTopic,num_human_comments,Mann-Whitney U (pairwise),0,4,-,0.39296,1.0,False
BERTopic,num_human_comments,Mann-Whitney U (pairwise),0,5,-,0.0,0.0,True
BERTopic,num_human_comments,Mann-Whitney U (pairwise),0,6,-,0.179329,1.0,False
BERTopic,num_human_comments,Mann-Whitney U (pairwise),0,7,-,1e-06,0.000488,True
BERTopic,num_human_comments,Mann-Whitney U (pairwise),0,8,-,0.001991,1.0,False
BERTopic,num_human_comments,Mann-Whitney U (pairwise),0,9,-,1e-06,0.000619,True
BERTopic,num_human_comments,Mann-Whitney U (pairwise),0,10,-,0.019372,1.0,False
BERTopic,num_human_comments,Mann-Whitney U (pairwise),0,11,-,0.0,0.0,True
BERTopic,num_human_comments,Mann-Whitney U (pairwise),0,12,-,0.006098,1.0,False
BERTopic,num_human_comments,Mann-Whitney U (pairwise),0,13,-,0.0,9.5e-05,True
BERTopic,num_human_comments,Mann-Whitney U (pairwise),0,14,-,0.030015,1.0,False
BERTopic,num_human_comments,Mann-Whitney U (pairwise),0,15,-,0.356929,1.0,False
BERTopic,num_human_comments,Mann-Whitney U (pairwise),0,16,-,0.460502,1.0,False
BERTopic,num_human_comments,Mann-Whitney U (pairwise),0,17,-,0.266672,1.0,False
BERTopic,num_human_comments,Mann-Whitney U (pairwise),0,18,-,0.000206,0.108798,False
BERTopic,num_human_comments,Mann-Whitney U (pairwise),0,19,-,0.081372,1.0,False
BERTopic,num_human_comments,Mann-Whitney U (pairwise),0,20,-,0.037414,1.0,False
BERTopic,num_human_comments,Mann-Whitney U (pairwise),0,21,-,0.390156,1.0,False
BERTopic,num_human_comments,Mann-Whitney U (pairwise),0,22,-,0.26702,1.0,False
BERTopic,num_human_comments,Mann-Whitney U (pairwise),0,23,-,0.169182,1.0,False
BERTopic,num_human_comments,Mann-Whitney U (pairwise),0,24,-,0.886517,1.0,False
BERTopic,num_human_comments,Mann-Whitney U (pairwise),0,25,-,0.072487,1.0,False
BERTopic,num_human_comments,Mann-Whitney U (pairwise),0,26,-,0.02687,1.0,False
BERTopic,num_human_comments,Mann-Whitney U (pairwise),0,27,-,0.091265,1.0,False
BERTopic,num_human_comments,Mann-Whitney U (pairwise),0,28,-,0.073671,1.0,False
BERTopic,num_human_comments,Mann-Whitney U (pairwise),0,29,-,0.005009,1.0,False
BERTopic,num_human_comments,Mann-Whitney U (pairwise),0,30,-,0.862657,1.0,False
BERTopic,num_human_comments,Mann-Whitney U (pairwise),0,31,-,0.222418,1.0,False
BERTopic,num_human_comments,Mann-Whitney U (pairwise),0,32,-,0.008433,1.0,False
BERTopic,num_human_comments,Mann-Whitney U (pairwise),1,2,-,0.0,2.4e-05,True
BERTopic,num_human_comments,Mann-Whitney U (pairwise),1,3,-,0.000411,0.217077,False
BERTopic,num_human_comments,Mann-Whitney U (pairwise),1,4,-,0.106953,1.0,False
BERTopic,num_human_comments,Mann-Whitney U (pairwise),1,5,-,3e-06,0.001643,True
BERTopic,num_human_comments,Mann-Whitney U (pairwise),1,6,-,0.403856,1.0,False
BERTopic,num_human_comments,Mann-Whitney U (pairwise),1,7,-,0.009944,1.0,False
BERTopic,num_human_comments,Mann-Whitney U (pairwise),1,8,-,0.270882,1.0,False
BERTopic,num_human_comments,Mann-Whitney U (pairwise),1,9,-,0.006834,1.0,False
BERTopic,num_human_comments,Mann-Whitney U (pairwise),1,10,-,0.61947,1.0,False
BERTopic,num_human_comments,Mann-Whitney U (pairwise),1,11,-,0.0,0.000195,True
BERTopic,num_human_comments,Mann-Whitney U (pairwise),1,12,-,0.312611,1.0,False
BERTopic,num_human_comments,Mann-Whitney U (pairwise),1,13,-,0.002251,1.0,False
BERTopic,num_human_comments,Mann-Whitney U (pairwise),1,14,-,0.89609,1.0,False
BERTopic,num_human_comments,Mann-Whitney U (pairwise),1,15,-,0.460355,1.0,False
BERTopic,num_human_comments,Mann-Whitney U (pairwise),1,16,-,0.533173,1.0,False
BERTopic,num_human_comments,Mann-Whitney U (pairwise),1,17,-,0.978141,1.0,False
BERTopic,num_human_comments,Mann-Whitney U (pairwise),1,18,-,0.032782,1.0,False
BERTopic,num_human_comments,Mann-Whitney U (pairwise),1,19,-,0.763746,1.0,False
BERTopic,num_human_comments,Mann-Whitney U (pairwise),1,20,-,0.578436,1.0,False
BERTopic,num_human_comments,Mann-Whitney U (pairwise),1,21,-,0.86867,1.0,False
BERTopic,num_human_comments,Mann-Whitney U (pairwise),1,22,-,0.052928,1.0,False
BERTopic,num_human_comments,Mann-Whitney U (pairwise),1,23,-,0.886998,1.0,False
BERTopic,num_human_comments,Mann-Whitney U (pairwise),1,24,-,0.348789,1.0,False
BERTopic,num_human_comments,Mann-Whitney U (pairwise),1,25,-,0.421848,1.0,False
BERTopic,num_human_comments,Mann-Whitney U (pairwise),1,26,-,0.374481,1.0,False
BERTopic,num_human_comments,Mann-Whitney U (pairwise),1,27,-,0.389249,1.0,False
BERTopic,num_human_comments,Mann-Whitney U (pairwise),1,28,-,0.545035,1.0,False
BERTopic,num_human_comments,Mann-Whitney U (pairwise),1,29,-,0.07018,1.0,False
BERTopic,num_human_comments,Mann-Whitney U (pairwise),1,30,-,0.386188,1.0,False
BERTopic,num_human_comments,Mann-Whitney U (pairwise),1,31,-,0.066109,1.0,False
BERTopic,num_human_comments,Mann-Whitney U (pairwise),1,32,-,0.11419,1.0,False
BERTopic,num_human_comments,Mann-Whitney U (pairwise),2,3,-,0.0,0.0,True
BERTopic,num_human_comments,Mann-Whitney U (pairwise),2,4,-,0.0,2e-06,True
BERTopic,num_human_comments,Mann-Whitney U (pairwise),2,5,-,0.995121,1.0,False
BERTopic,num_human_comments,Mann-Whitney U (pairwise),2,6,-,6e-06,0.003343,True
BERTopic,num_human_comments,Mann-Whitney U (pairwise),2,7,-,0.049536,1.0,False
BERTopic,num_human_comments,Mann-Whitney U (pairwise),2,8,-,0.011457,1.0,False
BERTopic,num_human_comments,Mann-Whitney U (pairwise),2,9,-,0.383803,1.0,False
BERTopic,num_human_comments,Mann-Whitney U (pairwise),2,10,-,0.00691,1.0,False
BERTopic,num_human_comments,Mann-Whitney U (pairwise),2,11,-,0.081365,1.0,False
BERTopic,num_human_comments,Mann-Whitney U (pairwise),2,12,-,0.103681,1.0,False
BERTopic,num_human_comments,Mann-Whitney U (pairwise),2,13,-,0.768234,1.0,False
BERTopic,num_human_comments,Mann-Whitney U (pairwise),2,14,-,0.000636,0.335632,False
BERTopic,num_human_comments,Mann-Whitney U (pairwise),2,15,-,6.5e-05,0.034539,True
BERTopic,num_human_comments,Mann-Whitney U (pairwise),2,16,-,0.000647,0.341737,False
BERTopic,num_human_comments,Mann-Whitney U (pairwise),2,17,-,0.001787,0.94334,False
BERTopic,num_human_comments,Mann-Whitney U (pairwise),2,18,-,0.48306,1.0,False
BERTopic,num_human_comments,Mann-Whitney U (pairwise),2,19,-,0.012227,1.0,False
BERTopic,num_human_comments,Mann-Whitney U (pairwise),2,20,-,0.140133,1.0,False
BERTopic,num_human_comments,Mann-Whitney U (pairwise),2,21,-,0.001306,0.689632,False
BERTopic,num_human_comments,Mann-Whitney U (pairwise),2,22,-,1.5e-05,0.008045,True
BERTopic,num_human_comments,Mann-Whitney U (pairwise),2,23,-,0.037914,1.0,False
BERTopic,num_human_comments,Mann-Whitney U (pairwise),2,24,-,0.001288,0.680309,False
BERTopic,num_human_comments,Mann-Whitney U (pairwise),2,25,-,0.171559,1.0,False
BERTopic,num_human_comments,Mann-Whitney U (pairwise),2,26,-,0.029728,1.0,False
BERTopic,num_human_comments,Mann-Whitney U (pairwise),2,27,-,0.804516,1.0,False
BERTopic,num_human_comments,Mann-Whitney U (pairwise),2,28,-,0.158671,1.0,False
BERTopic,num_human_comments,Mann-Whitney U (pairwise),2,29,-,0.492714,1.0,False
BERTopic,num_human_comments,Mann-Whitney U (pairwise),2,30,-,0.001697,0.896117,False
BERTopic,num_human_comments,Mann-Whitney U (pairwise),2,31,-,0.000183,0.096674,False
BERTopic,num_human_comments,Mann-Whitney U (pairwise),2,32,-,0.835145,1.0,False
BERTopic,num_human_comments,Mann-Whitney U (pairwise),3,4,-,0.105489,1.0,False
BERTopic,num_human_comments,Mann-Whitney U (pairwise),3,5,-,0.0,0.0,True
BERTopic,num_human_comments,Mann-Whitney U (pairwise),3,6,-,0.054168,1.0,False
BERTopic,num_human_comments,Mann-Whitney U (pairwise),3,7,-,2e-06,0.001132,True
BERTopic,num_human_comments,Mann-Whitney U (pairwise),3,8,-,0.001107,0.584441,False
BERTopic,num_human_comments,Mann-Whitney U (pairwise),3,9,-,4e-06,0.002246,True
BERTopic,num_human_comments,Mann-Whitney U (pairwise),3,10,-,0.010825,1.0,False
BERTopic,num_human_comments,Mann-Whitney U (pairwise),3,11,-,0.0,0.0,True
BERTopic,num_human_comments,Mann-Whitney U (pairwise),3,12,-,0.004588,1.0,False
BERTopic,num_human_comments,Mann-Whitney U (pairwise),3,13,-,3e-06,0.001821,True
BERTopic,num_human_comments,Mann-Whitney U (pairwise),3,14,-,0.025442,1.0,False
BERTopic,num_human_comments,Mann-Whitney U (pairwise),3,15,-,0.167199,1.0,False
BERTopic,num_human_comments,Mann-Whitney U (pairwise),3,16,-,0.192612,1.0,False
BERTopic,num_human_comments,Mann-Whitney U (pairwise),3,17,-,0.057142,1.0,False
BERTopic,num_human_comments,Mann-Whitney U (pairwise),3,18,-,0.000257,0.13563,False
BERTopic,num_human_comments,Mann-Whitney U (pairwise),3,19,-,0.073421,1.0,False
BERTopic,num_human_comments,Mann-Whitney U (pairwise),3,20,-,0.038376,1.0,False
BERTopic,num_human_comments,Mann-Whitney U (pairwise),3,21,-,0.131398,1.0,False
BERTopic,num_human_comments,Mann-Whitney U (pairwise),3,22,-,0.803224,1.0,False
BERTopic,num_human_comments,Mann-Whitney U (pairwise),3,23,-,0.103917,1.0,False
BERTopic,num_human_comments,Mann-Whitney U (pairwise),3,24,-,0.586234,1.0,False
BERTopic,num_human_comments,Mann-Whitney U (pairwise),3,25,-,0.039967,1.0,False
BERTopic,num_human_comments,Mann-Whitney U (pairwise),3,26,-,0.024394,1.0,False
BERTopic,num_human_comments,Mann-Whitney U (pairwise),3,27,-,0.058552,1.0,False
BERTopic,num_human_comments,Mann-Whitney U (pairwise),3,28,-,0.063568,1.0,False
BERTopic,num_human_comments,Mann-Whitney U (pairwise),3,29,-,0.00952,1.0,False
BERTopic,num_human_comments,Mann-Whitney U (pairwise),3,30,-,0.635196,1.0,False
BERTopic,num_human_comments,Mann-Whitney U (pairwise),3,31,-,0.596468,1.0,False
BERTopic,num_human_comments,Mann-Whitney U (pairwise),3,32,-,0.010785,1.0,False
BERTopic,num_human_comments,Mann-Whitney U (pairwise),4,5,-,0.0,0.000112,True
BERTopic,num_human_comments,Mann-Whitney U (pairwise),4,6,-,0.622852,1.0,False
BERTopic,num_human_comments,Mann-Whitney U (pairwise),4,7,-,0.001026,0.541897,False
BERTopic,num_human_comments,Mann-Whitney U (pairwise),4,8,-,0.041082,1.0,False
BERTopic,num_human_comments,Mann-Whitney U (pairwise),4,9,-,0.000552,0.29142,False
BERTopic,num_human_comments,Mann-Whitney U (pairwise),4,10,-,0.149049,1.0,False
BERTopic,num_human_comments,Mann-Whitney U (pairwise),4,11,-,0.0,1.2e-05,True
BERTopic,num_human_comments,Mann-Whitney U (pairwise),4,12,-,0.063636,1.0,False
BERTopic,num_human_comments,Mann-Whitney U (pairwise),4,13,-,0.0003,0.158586,False
BERTopic,num_human_comments,Mann-Whitney U (pairwise),4,14,-,0.285153,1.0,False
BERTopic,num_human_comments,Mann-Whitney U (pairwise),4,15,-,0.820475,1.0,False
BERTopic,num_human_comments,Mann-Whitney U (pairwise),4,16,-,0.777648,1.0,False
BERTopic,num_human_comments,Mann-Whitney U (pairwise),4,17,-,0.344477,1.0,False
BERTopic,num_human_comments,Mann-Whitney U (pairwise),4,18,-,0.006346,1.0,False
BERTopic,num_human_comments,Mann-Whitney U (pairwise),4,19,-,0.38479,1.0,False
BERTopic,num_human_comments,Mann-Whitney U (pairwise),4,20,-,0.206965,1.0,False
BERTopic,num_human_comments,Mann-Whitney U (pairwise),4,21,-,0.561001,1.0,False
BERTopic,num_human_comments,Mann-Whitney U (pairwise),4,22,-,0.303697,1.0,False
BERTopic,num_human_comments,Mann-Whitney U (pairwise),4,23,-,0.401385,1.0,False
BERTopic,num_human_comments,Mann-Whitney U (pairwise),4,24,-,0.804178,1.0,False
BERTopic,num_human_comments,Mann-Whitney U (pairwise),4,25,-,0.185615,1.0,False
BERTopic,num_human_comments,Mann-Whitney U (pairwise),4,26,-,0.154558,1.0,False
BERTopic,num_human_comments,Mann-Whitney U (pairwise),4,27,-,0.157831,1.0,False
BERTopic,num_human_comments,Mann-Whitney U (pairwise),4,28,-,0.248936,1.0,False
BERTopic,num_human_comments,Mann-Whitney U (pairwise),4,29,-,0.03354,1.0,False
BERTopic,num_human_comments,Mann-Whitney U (pairwise),4,30,-,0.880628,1.0,False
BERTopic,num_human_comments,Mann-Whitney U (pairwise),4,31,-,0.24567,1.0,False
BERTopic,num_human_comments,Mann-Whitney U (pairwise),4,32,-,0.044491,1.0,False
BERTopic,num_human_comments,Mann-Whitney U (pairwise),5,6,-,4.1e-05,0.021404,True
BERTopic,num_human_comments,Mann-Whitney U (pairwise),5,7,-,0.057106,1.0,False
